,IGN Position,Game
473,474,Arkanoid
474,475,Saturn Bomberman
475,476,Daytona USA
476,477,Ninja Gaiden
477,478,Heroes of Might and Magic III: The Restoration of Erathia
478,479,Tempest
479,480,PUBG: Battlegrounds
480,481,Final Fantasy XV
481,482,Borderlands
482,483,Ultima VI: The False Prophet
483,484,Fire Emblem: Fates -- Special Edition
484,485,Wing Commander II: Vengeance of the Kilrathi
485,486,Super Mario Sunshine
486,487,Halo 4
487,488,Middle-earth: Shadow of Mordor
488,489,Teenage Mutant Ninja Turtles IV: Turtles in Time
489,490,Dark Souls II
490,491,Castle Crashers
491,492,R-Type Final
492,493,Donkey Kong Country 2: Diddy's Kong Quest
493,494,God Hand
494,495,SingStar 
495,496,Battlefield: Bad Company 2
496,497,Spacewar
497,498,Joust
498,499,Super Puzzle Fighter II Turbo
499,500,The World Ends with You
